code_nat,text_nat,code_plus,text_plus,country
BAHY36C,Behandling med aminobutylsyre,WVXX00,Other intervention for medication,den
BAHY36D,Behandling med (VGB) vigabatrin,WVXX00,Other intervention for medication,den
BAHY36E,Behandling med progabid,WVXX00,Other intervention for medication,den
BAHY36F,Behandling med (TGB) tiagabin,WVXX00,Other intervention for medication,den
BAHY38A,Behandling med (STM) sultiam,WVXX00,Other intervention for medication,den
BAHY38B,Behandling med phenacemid,WVXX00,Other intervention for medication,den
BAHY38C,Behandling med (LTG) lamotrigin,WVXX00,Other intervention for medication,den
BAHY38D,Behandling med (FBM) felbamat,WVXX00,Other intervention for medication,den
BAHY38E,Behandling med (TPM) topiramat,WVXX00,Other intervention for medication,den
BAHY38F,Behandling med (GBP) gabapentin,WVXX00,Other intervention for medication,den
BAHY38G,Behandling med pheneturid,WVXX00,Other intervention for medication,den
BAHY38H,Behandling med (LEV) levetiracetam,WVXX00,Other intervention for medication,den
BAHY38J,Behandling med (ZNS) zonisamid,WVXX00,Other intervention for medication,den
BAHY38K,Behandling med beclamid,WVXX00,Other intervention for medication,den
BAHY38L,Behandling med (PGL) pregabalin,WVXX00,Other intervention for medication,den
BAHY38M,Behandling med (AZA) acetazolamid,WVXX00,Other intervention for medication,den
BAHY38N,Behandling med (PPF) propofol,WVXX00,Other intervention for medication,den
BAHY38P,Behandling med (LCA) lacosamid,WVXX00,Other intervention for medication,den
BAHY38Q,Behandling med (STP) stiripentol,WVXX00,Other intervention for medication,den
BAHY38R,Behandling med (RTG) retigabin,WVXX00,Other intervention for medication,den
BAHY38S,Behandling med perampanel,WVXX00,Other intervention for medication,den
BAHY4,Behandling med antiparkinsonmiddel,WVXX00,Other intervention for medication,den
BAHY5,Behandling med antikolinergika,WVXX00,Other intervention for medication,den
BAHY60,Behandling med capsaicin,WVXX00,Other intervention for medication,den
BAKA,Undervisning af patient i epilepsi,WSZB20,Teaching,den
BAKH,Vejledning i interferonbehandling,WVXX00,Other intervention for medication,den
BALF0,Soignering af epiduralkateter,ABX028,Removal or other procedure on spinal or epidural catheter,den
BAVA,Generel pleje ved lidelse i nervesystemet,AXXX99,Other minor neurological procedure,den
BAVB,Speciel pleje ved lidelse i nervesystemet,AXXX99,Other minor neurological procedure,den
BAXY1,Intensiv neurorehabilitering på højt specialiseret central enhed,R4R160,Other rehabilitative therapy,den
BAXY2,Intensiv neurorehabilitering på decentral enhed,R4R160,Other rehabilitative therapy,den
BAXY3,"Behandling af rygmarvsskadet på højt specialiseret, central enhed",AXXX99,Other minor neurological procedure,den
BAXY40,Overvågning ved nedtrapning af antiepileptisk behandling,ZYZX80,Clinical observation and follow-up,den
BAXY41,Overvågning ved optrapning af antiepileptisk behandling,ZYZX80,Clinical observation and follow-up,den
BAXY42,Overvågning ved uændret antiepileptisk behandling,ZYZX80,Clinical observation and follow-up,den
BAXY50,Observation for epileptiske anfald og brug af anfaldskalender,ZYZX80,Clinical observation and follow-up,den
BAXY51,Registrering epileptiske anfald ved brug af video uden tidstro overvågning,ZYZX81,Videodocumentation,den
BAXY60,Specialiseret epilepsibehandling i relation til graviditet,ZYZX90,Other cinical consultation,den
BBHA01,Behandling med glukosehæmmende middel,WVXX00,Other intervention for medication,den
BBHB,Antithyreoid behandling,WVXX00,Other intervention for medication,den
BBHC,Behandling med midler mod adipositas,WVXX00,Other intervention for medication,den
BBHD1,Behandling med laronidase,WVXX00,Other intervention for medication,den
BBHD2,Behandling med agalsidase-alfa,WVXX00,Other intervention for medication,den
BBHD3,Behandling med agalsidase-beta,WVXX00,Other intervention for medication,den
BBHD4,Behandling med imiglucerase,WVXX00,Other intervention for medication,den
BBHD5,Behandling med alglucosidase-alfa,WVXX00,Other intervention for medication,den
BBHD6,Behandling med galsulfase,WVXX00,Other intervention for medication,den
BBHD7,Behandling med idursulfatase,WVXX00,Other intervention for medication,den
BBHD8,Behandling med velaglucerase,WVXX00,Other intervention for medication,den
BBHE1,Behandling med nitisinon,WVXX00,Other intervention for medication,den
BBHF01,"Insulinbehandling, basal og bolus",WVXX00,Other intervention for medication,den
BBHF02,Insulinpumpebehandling,WVXX00,Other intervention for medication,den
BBHF1,Behandling med thyreoideahormon,WVXX00,Other intervention for medication,den
BBHF2,Behandling med hypofysehormon,WVXX00,Other intervention for medication,den
