code_nat,text_nat,code_plus,text_plus,country
S01AX04,Nitrofural,S01AX04,Nitrofural,swe
S01AX05,Bibrokatol,S01AX05,Bibrocathol,swe
S01AX06,Resorcinol,S01AX06,Resorcinol,swe
S01AX07,Natriumborat,S01AX07,Sodium borate,swe
S01AX08,Hexamidin,S01AX08,Hexamidine,swe
S01AX09,Klorhexidin,S01AX09,Chlorhexidine,swe
S01AX10,Natriumpropionat,S01AX10,Sodium propionate,swe
S01AX11,Ofloxacin,S01AE01,Ofloxacin,swe
S01AX12,Norfloxacin,S01AE02,Norfloxacin,swe
S01AX13,Ciprofloxacin,S01AE03,Ciprofloxacin,swe
S01AX14,Dibrompropamidin,S01AX14,Dibrompropamidine,swe
S01AX15,Propamidin,S01AX15,Propamidine,swe
S01AX16,Pikloxydin,S01AX16,Picloxydine,swe
S01AX17,Lomefloxacin,S01AE04,Lomefloxacin,swe
S01AX18,"Povidon, joderad",S01AX18,Povidone-iodine,swe
S01AX19,Levofloxacin,S01AE05,Levofloxacin,swe
S01AX21,Gatifloxacin,S01AE06,Gatifloxacin,swe
S01AX22,Moxifloxacin,S01AE07,Moxifloxacin,swe
S01AX23,Besifloxacin,S01AE08,Besifloxacin,swe
S01BA,Inactivated at 31.12.2023 - Kortikosteroider,S01BA,"Corticosteroids, plain",swe
S01BA01,Dexametason,S01BA01,Dexamethasone,swe
S01BA02,Hydrokortison,S01BA02,Hydrocortisone,swe
S01BA03,Kortison,S01BA03,Cortisone,swe
S01BA04,Prednisolon,S01BA04,Prednisolone,swe
S01BA05,Triamcinolon,S01BA05,Triamcinolone,swe
S01BA06,Betametason,S01BA06,Betamethasone,swe
S01BA07,Fluorometolon,S01BA07,Fluorometholone,swe
S01BA08,Medryson,S01BA08,Medrysone,swe
S01BA09,Klobetason,S01BA09,Clobetasone,swe
S01BA10,Alklometason,S01BA10,Alclometasone,swe
S01BA11,Desonid,S01BA11,Desonide,swe
S01BA12,Formokortal,S01BA12,Formocortal,swe
S01BA13,Rimexolon,S01BA13,Rimexolone,swe
S01BA14,Loteprednol,S01BA14,Loteprednol,swe
S01BA15,Fluocinolonacetonid,S01BA15,Fluocinolone acetonide,swe
S01BB,Inactivated at 31.12.2023 - Kortikosteroider och mydriatika i kombination,S01BB,Corticosteroids and mydriatics in combination,swe
S01BB01,Hydrokortison och mydratikum,S01BB01,Hydrocortisone and mydriatics,swe
S01BB02,Prednisolon och mydriaktika,S01BB02,Prednisolone and mydriatics,swe
S01BB03,Fluorometolon och mydriatika,S01BB03,Fluorometholone and mydriatics,swe
S01BB04,Betametason och mydriatika,S01BB04,Betamethasone and mydriatics,swe
S01BC,Inactivated at 31.12.2023 - Icke-steroida antiinflammatoriska medel,S01BC,"Antiinflammatory agents, non-steroids",swe
S01BC01,Indometacin,S01BC01,Indometacin,swe
S01BC02,Oxifenbutazon,S01BC02,Oxyphenbutazone,swe
S01BC03,Diklofenak,S01BC03,Diclofenac,swe
S01BC04,Flurbiprofen,S01BC04,Flurbiprofen,swe
S01BC05,Ketorolak,S01BC05,Ketorolac,swe
S01BC06,Piroxikam,S01BC06,Piroxicam,swe
S01BC07,Bendazak,S01BC07,Bendazac,swe
S01BC08,Salicylsyra,S01BC08,Salicylic acid,swe
S01BC09,Pranoprofen,S01BC09,Pranoprofen,swe
S01BC10,Nepafenak,S01BC10,Nepafenac,swe
S01BC11,Bromfenak,S01BC11,Bromfenac,swe
S01CA,Inactivated at 31.12.2023 - Kortikosteroider i kombination med antiinfektiva medel,S01CA,Corticosteroids and antiinfectives in combination,swe
S01CA01,Dexametason och antiinfektiva medel,S01CA01,Dexamethasone and antiinfectives,swe
S01CA02,Prednisolon och antiinfektiva medel,S01CA02,Prednisolone and antiinfectives,swe
S01CA03,Hydrokortison och antiinfektiva medel,S01CA03,Hydrocortisone and antiinfectives,swe
S01CA04,Fluokortolon och antiinfektiva medel,S01CA04,Fluocortolone and antiinfectives,swe
S01CA05,Betametason och antiinfektiva medel,S01CA05,Betamethasone and antiinfectives,swe
S01CA06,Fludrokortison och antiinfektiva medel,S01CA06,Fludrocortisone and antiinfectives,swe
S01CA07,Fluorometolon och antiinfektiva medel,S01CA07,Fluorometholone and antiinfectives,swe
S01CA08,Metylprednisolon och antiinfektiva medel,S01CA08,Methylprednisolone and antiinfectives,swe
S01CA09,Klorprednison och antiinfektiva medel,S01CA09,Chloroprednisone and antiinfectives,swe
S01CA10,Fluocinolonacetonid och antiinfektiva medel,S01CA10,Fluocinolone acetonide and antiinfectives,swe
S01CA11,Klobetason och antiinfektiva medel,S01CA11,Clobetasone and antiinfectives,swe
S01CB,Inactivated at 31.12.2023 - Kortikosteroider/antiinfektiva/mydriatika i kombination,S01CB,Corticosteroids/antiinfectives/mydriatics in combination,swe
S01CB01,Dexametason,S01CB01,Dexamethasone,swe
S01CB02,Prednisolon,S01CB02,Prednisolone,swe
S01CB03,Hydrokortison,S01CB03,Hydrocortisone,swe
S01CB04,Betametason,S01CB04,Betamethasone,swe
S01CB05,Fluorometolon,S01CB05,Fluorometholone,swe
S01CC,Inactivated at 31.12.2023 - Icke-steroida antiinflammatoriska medel och antiinfektiva medel i kombination,S01CC,"Antiinflammatory agents, non-steroids and antiinfectives in combination",swe
S01CC01,Diklofenak och antiinfektiva medel,S01CC01,Diclofenac and antiinfectives,swe
S01CC02,Indometacin och antiinfektiva medel,S01CC02,Indometacin and antiinfectives,swe
S01EA,Inactivated at 31.12.2023 - Sympatomimetika vid glaukom,S01EA,Sympathomimetics in glaucoma therapy,swe
S01EA01,Adrenalin,S01EA01,Epinephrine,swe
S01EA02,Dipivefrin,S01EA02,Dipivefrine,swe
S01EA03,Apraklonidin,S01EA03,Apraclonidine,swe
S01EA04,Klonidin,S01EA04,Clonidine,swe
S01EA05,Brimonidin,S01EA05,Brimonidine,swe
S01EA51,"Adrenalin, kombinationer",S01EA51,"Epinephrine, combinations",swe
S01EB,Inactivated at 31.12.2023 - Parasympatomimetika,S01EB,Parasympathomimetics,swe
S01EB01,Pilokarpin,S01EB01,Pilocarpine,swe
S01EB02,Karbakol,S01EB02,Carbachol,swe
S01EB03,Ekotiopat,S01EB03,Ecothiopate,swe
S01EB04,Demekar,S01EB04,Demecarium,swe
S01EB05,Fysostigmin,S01EB05,Physostigmine,swe
S01EB06,Neostigmin,S01EB06,Neostigmine,swe
S01EB07,Fluostigmin,S01EB07,Fluostigmine,swe
S01EB08,Aceklidin,S01EB08,Aceclidine,swe
S01EB09,Acetylkolin,S01EB09,Acetylcholine,swe
S01EB10,Paraoxon,S01EB10,Paraoxon,swe
S01EB51,"Pilokarpin, kombinationer",S01EB51,"Pilocarpine, combinations",swe
S01EB58,"Aceklidin, kombinationer",S01EB58,"Aceclidine, combinations",swe
S01EC,Inactivated at 31.12.2023 - Karbanhydrashämmare,S01EC,Carbonic anhydrase inhibitors,swe
S01EC01,Acetazolamid,S01EC01,Acetazolamide,swe
S01EC02,Diklofenamid,S01EC02,Diclofenamide,swe
S01EC03,Dorzolamid,S01EC03,Dorzolamide,swe
S01EC04,Brinzolamid,S01EC04,Brinzolamide,swe
S01EC05,Metazolamid,S01EC05,Methazolamide,swe
S01EC54,"Brinzolamid, kombinationer",S01EC54,"Brinzolamide, combinations",swe
S01ED,Inactivated at 31.12.2023 - Beta-receptorblockerande medel,S01ED,Beta blocking agents,swe
S01ED01,Timolol,S01ED01,Timolol,swe
S01ED02,Betaxolol,S01ED02,Betaxolol,swe
S01ED03,Levobunolol,S01ED03,Levobunolol,swe
S01ED04,Metipranolol,S01ED04,Metipranolol,swe
S01ED05,Karteolol,S01ED05,Carteolol,swe
S01ED06,Befunolol,S01ED06,Befunolol,swe
S01ED51,"Timolol, kombinationer",S01ED51,"Timolol, combinations",swe
S01ED52,"Betoxalol, kombinationer",S01ED52,"Betaxolol, combinations",swe
S01ED54,"Metipranolol, kombinationer",S01ED54,"Metipranolol, combinations",swe
S01ED55,"Karteolol, kombinationer",S01ED55,"Carteolol, combinations",swe
S01EE,Inactivated at 31.12.2023 - Prostaglandinanaloger,S01EE,Prostaglandin analogues,swe
S01EE01,Latanoprost,S01EE01,Latanoprost,swe
S01EE02,Unoproston,S01EE02,Unoprostone,swe
S01EE03,Bimatoprost,S01EE03,Bimatoprost,swe
S01EE04,Travoprost,S01EE04,Travoprost,swe
S01EE05,Tafluprost,S01EE05,Tafluprost,swe
S01EE06,Latanoprostenbunod,S01EE06,Latanoprostene bunod,swe
S01EE51,Latanoprost och netarsudil,S01EE51,Latanoprost and netarsudil,swe
S01EX,Inactivated at 31.12.2023 - Övriga medel vid glaukom samt miotika,S01EX,Other antiglaucoma preparations,swe
S01EX01,Guanetidin,S01EX01,Guanethidine,swe
S01EX02,Dapiprazol,S01EX02,Dapiprazole,swe
S01EX03,Latanoprost,S01EE01,Latanoprost,swe
S01EX04,Unoproston,S01EE02,Unoprostone,swe
S01EX05,Netarsudil,S01EX05,Netarsudil,swe
S01EX06,Omidenepag,S01EX06,Omidenepag,swe
S01EX07,Ripasudil,S01EX07,Ripasudil,swe
S01FA,Inactivated at 31.12.2023 - Antikolinergika,S01FA,Anticholinergics,swe
S01FA01,Atropin,S01FA01,Atropine,swe
S01FA02,Skopolamin,S01FA02,Scopolamine,swe
S01FA03,Metylskopolamin,S01FA03,Methylscopolamine,swe
S01FA04,Cyklopentolat,S01FA04,Cyclopentolate,swe
S01FA05,Homatropin,S01FA05,Homatropine,swe
S01FA06,Tropikamid,S01FA06,Tropicamide,swe
S01FA54,"Cyklopentolat, kombinationer",S01FA54,"Cyclopentolate, combinations",swe
S01FA56,"Tropikamid, kombinationer",S01FA56,"Tropicamide, combinations",swe
S01FB,"Inactivated at 31.12.2023 - Sympatomimetika, exkl. medel vid glaukom",S01FB,Sympathomimetics excl. antiglaucoma preparations,swe
S01FB01,Fenylefrin,S01FB01,Phenylephrine,swe
S01FB02,Efedrin,S01FB02,Ephedrine,swe
S01FB03,Ibopamin,S01FB03,Ibopamine,swe
S01FB51,Fenylefrin och ketorolak,S01FB51,Phenylephrine and ketorolac,swe
S01GA,Inactivated at 31.12.2023 - Sympatomimetika som avsvällande medel,S01GA,Sympathomimetics used as decongestants,swe
S01GA01,Nafazolin,S01GA01,Naphazoline,swe
S01GA02,Tetryzolin,S01GA02,Tetryzoline,swe
S01GA03,Xylometazolin,S01GA03,Xylometazoline,swe
S01GA04,Oximetazolin,S01GA04,Oxymetazoline,swe
S01GA05,Fenylefrin,S01GA05,Phenylephrine,swe
S01GA06,Oxedrin,S01GA06,Oxedrine,swe
S01GA07,Brimonidin,S01GA07,Brimonidine,swe
S01GA51,"Nafazolin, kombinationer",S01GA51,"Naphazoline, combinations",swe
S01GA52,"Tetryzolin, kombinationer",S01GA52,"Tetryzoline, combinations",swe
S01GA53,"Xylometazolin, kombinationer",S01GA53,"Xylometazoline, combinations",swe
S01GA55,"Fenylefrin, kombinationer",S01GA55,"Phenylephrine, combinations",swe
S01GA56,"Oxedrin, kombinationer",S01GA56,"Oxedrine, combinations",swe
S01GX,Inactivated at 31.12.2023 - Övriga antiallergika,S01GX,Other antiallergics,swe
S01GX01,Natriumkromoglikat,S01GX01,Cromoglicic acid,swe
S01GX02,Levokabastin,S01GX02,Levocabastine,swe
S01GX03,Spagluminsyra,S01GX03,Spaglumic acid,swe
S01GX04,Nedokromil,S01GX04,Nedocromil,swe
S01GX05,Lodoxamid,S01GX05,Lodoxamide,swe
S01GX06,Emedastin,S01GX06,Emedastine,swe
S01GX07,Azelastin,S01GX07,Azelastine,swe
S01GX08,Ketotifen,S01GX08,Ketotifen,swe
S01GX09,Olopatadin,S01GX09,Olopatadine,swe
S01GX10,Epinastin,S01GX10,Epinastine,swe
S01GX11,Alkaftadin,S01GX11,Alcaftadine,swe
S01GX12,Cetirizin,S01GX12,Cetirizine,swe
S01GX13,Bilastin,S01GX13,Bilastine,swe
S01GX51,"Natriumkromoglikat, kombinationer",S01GX51,"Cromoglicic acid, combinations",swe
S01HA,Inactivated at 31.12.2023 - Lokalanestetika,S01HA,Local anesthetics,swe
S01HA01,Kokain,S01HA01,Cocaine,swe
S01HA02,Oxibuprokain,S01HA02,Oxybuprocaine,swe
S01HA03,Tetrakain,S01HA03,Tetracaine,swe
S01HA04,Proximetakain,S01HA04,Proxymetacaine,swe
S01HA05,Prokain,S01HA05,Procaine,swe
S01HA06,Cinkokain,S01HA06,Cinchocaine,swe
S01HA07,Lidokain,S01HA07,Lidocaine,swe
S01HA30,Kombinationer,S01HA30,Combinations,swe
S01JA,Inactivated at 31.12.2023 - Färgämnen,S01JA,Colouring agents,swe
S01JA01,Fluorescein,S01JA01,Fluorescein,swe
S01JA02,Bengalrosanatrium,S01JA02,Rose bengal sodium,swe
S01JA51,"Fluorescein, kombinationer",S01JA51,"Fluorescein, combinations",swe
S01JX,Inactivated at 31.12.2023 - Övriga diagnostiska medel vid ögonsjukdomar,S01JX,Other ophthalmological diagnostic agents,swe
S01KA,Inactivated at 31.12.2023 - Viskoelastiska substanser,S01KA,Viscoelastic substances,swe
S01KA01,Hyaluronsyra,S01KA01,Hyaluronic acid,swe
S01KA02,Hypromellos,S01KA02,Hypromellose,swe
S01KA51,"Hyaluronsyra, kombinationer",S01KA51,"Hyaluronic acid, combinations",swe
S01KX,Inactivated at 31.12.2023 - Övriga hjälpmedel vid operationer,S01KX,Other surgical aids,swe
S01KX01,Kymotrypsin,S01KX01,Chymotrypsin,swe
S01LA01,Verteporfin,S01LA01,Verteporfin,swe
S01LA02,Anekortav,S01LA02,Anecortave,swe
S01LA03,Pegaptanib,S01LA03,Pegaptanib,swe
S01LA04,Ranibizumab,S01LA04,Ranibizumab,swe
S01LA05,Aflibercept,S01LA05,Aflibercept,swe
S01LA06,Brolucizumab,S01LA06,Brolucizumab,swe
S01LA07,Abicipar pegol,S01LA07,Abicipar pegol,swe
S01LA08,Bevacizumab,S01LA08,Bevacizumab,swe
S01XA,Inactivated at 31.12.2023 - Övriga medel vid ögonsjukdomar,S01XA,Other ophthalmologicals,swe
S01XA01,Guajazulen,S01XA01,Guaiazulen,swe
S01XA02,Retinol (vitamin A),S01XA02,Retinol,swe
S01XA03,"Natriumklorid, hyperton",S01XA03,"Sodium chloride, hypertonic",swe
S01XA04,Kaliumjodid,S01XA04,Potassium iodide,swe
S01XA05,Natriumedetat,S01XA05,Sodium edetate,swe
S01XA06,Etylmorfin,S01XA06,Ethylmorphine,swe
S01XA07,Alum,S01XA07,Alum,swe
S01XA08,Acetylcystein,S01XA08,Acetylcysteine,swe
S01XA09,Jodoheparinat,S01XA09,Iodoheparinate,swe
S01XA10,Inosin,S01XA10,Inosine,swe
S01XA11,Nandrolon,S01XA11,Nandrolone,swe
S01XA12,Dexpantenol,S01XA12,Dexpanthenol,swe
S01XA13,Alteplas,S01XA13,Alteplase,swe
S01XA14,Heparin,S01XA14,Heparin,swe
S01XA15,Askorbinsyra (vitamin C),S01XA15,Ascorbic acid,swe
S01XA16,Anekortav,S01LA02,Anecortave,swe
S01XA18,Ciklosporin,S01XA18,Ciclosporin,swe
S01XA19,Autologa limbala stamceller,S01XA19,"Limbal stem cells, autologous",swe
S01XA20,Tårsubstitut och övriga indifferenta medel,S01XA20,Artificial tears and other indifferent preparations,swe
S01XA21,Merkaptamin,S01XA21,Mercaptamine,swe
S01XA22,Okriplasmin,S01XA22,Ocriplasmin,swe
S01XA23,Sirolimus,S01XA23,Sirolimus,swe
S01XA24,Cenegermin,S01XA24,Cenegermin,swe
S01XA25,Lifitegrast,S01XA25,Lifitegrast,swe
S01XA26,Riboflavin,S01XA26,Riboflavin,swe
S01XA27,Voretigen-neparvovek,S01XA27,Voretigene neparvovec,swe
S02AA,Inactivated at 31.12.2023 - Antiinfektiva medel,S02AA,Antiinfectives,swe
S02AA01,Kloramfenikol,S02AA01,Chloramphenicol,swe
S02AA02,Nitrofural,S02AA02,Nitrofural,swe
S02AA03,Borsyra,S02AA03,Boric acid,swe
S02AA04,Aluminiumacetotartrat,S02AA04,Aluminium acetotartrate,swe
S02AA05,Kliokinol,S02AA05,Clioquinol,swe
S02AA06,Väteperoxid,S02AA06,Hydrogen peroxide,swe
S02AA07,Neomycin,S02AA07,Neomycin,swe
S02AA08,Tetracyklin,S02AA08,Tetracycline,swe
S02AA09,Klorhexidin,S02AA09,Chlorhexidine,swe
S02AA10,Ättiksyra,S02AA10,Acetic acid,swe
S02AA11,Polymyxin B,S02AA11,Polymyxin B,swe
S02AA12,Rifamycin,S02AA12,Rifamycin,swe
S02AA13,Mikonazol,S02AA13,Miconazole,swe
S02AA14,Gentamicin,S02AA14,Gentamicin,swe
S02AA15,Ciprofloxacin,S02AA15,Ciprofloxacin,swe
S02AA16,Ofloxacin,S02AA16,Ofloxacin,swe
S02AA30,"Antiinfektiva medel, kombinationer",S02AA30,"Antiinfectives, combinations",swe
S02BA,Inactivated at 31.12.2023 - Kortikosteroider,S02BA,Corticosteroids,swe
S02BA01,Hydrokortison,S02BA01,Hydrocortisone,swe
S02BA03,Prednisolon,S02BA03,Prednisolone,swe
S02BA06,Dexametason,S02BA06,Dexamethasone,swe
S02BA07,Betametason,S02BA07,Betamethasone,swe
S02BA08,Fluocinolonacetonid,S02BA08,Fluocinolone acetonide,swe
S02CA,Inactivated at 31.12.2023 - Kortikosteroider i kombination med antiinfektiva medel,S02CA,Corticosteroids and antiinfectives in combination,swe
S02CA01,Prednisolon och antiinfektiva medel,S02CA01,Prednisolone and antiinfectives,swe
S02CA02,Flumetason och antiinfektiva medel,S02CA02,Flumetasone and antiinfectives,swe
S02CA03,Hydrokortison och antiinfektiva medel,S02CA03,Hydrocortisone and antiinfectives,swe
S02CA04,Triamcinolon och antiinfektiva medel,S02CA04,Triamcinolone and antiinfectives,swe
S02CA05,Fluocinolonacetonid och antiinfektiva medel,S02CA05,Fluocinolone acetonide and antiinfectives,swe
S02CA06,Dexametason och antiinfektiva medel,S02CA06,Dexamethasone and antiinfectives,swe
S02CA07,Fludrokortison och antiinfektiva medel,S02CA07,Fludrocortisone and antiinfectives,swe
S02DA,Inactivated at 31.12.2023 - Analgetika och anestetika,S02DA,Analgesics and anesthetics,swe
S02DA01,Lidokain,S02DA01,Lidocaine,swe
S02DA02,Kokain,S02DA02,Cocaine,swe
S02DA03,Fenazon,S02DA03,Phenazone,swe
S02DA04,Cinkokain,S02DA04,Cinchocaine,swe
S02DA30,Kombinationer,S02DA30,Combinations,swe
S02DC,Inactivated at 31.12.2023 - Indifferenta medel,S02DC,Indifferent preparations,swe
S03AA,Inactivated at 31.12.2023 - Antiinfektiva medel,S03AA,Antiinfectives,swe
S03AA01,Neomycin,S03AA01,Neomycin,swe
S03AA02,Tetracyklin,S03AA02,Tetracycline,swe
S03AA03,Polymyxin B,S03AA03,Polymyxin B,swe
S03AA04,Klorhexidin,S03AA04,Chlorhexidine,swe
S03AA05,Hexamidin,S03AA05,Hexamidine,swe
S03AA06,Gentamicin,S03AA06,Gentamicin,swe
S03AA07,Ciprofloxacin,S03AA07,Ciprofloxacin,swe
S03AA08,Kloramfenikol,S03AA08,Chloramphenicol,swe
S03AA30,"Antiinfektiva, kombinationer",S03AA30,"Antiinfectives, combinations",swe
S03BA,Inactivated at 31.12.2023 - Kortikosteroider,S03BA,Corticosteroids,swe
S03BA01,Dexametason,S03BA01,Dexamethasone,swe
S03BA02,Prednisolon,S03BA02,Prednisolone,swe
S03BA03,Betametason,S03BA03,Betamethasone,swe
S03CA,Inactivated at 31.12.2023 - Kortikosteroider i kombination med antiinfektiva medel,S03CA,Corticosteroids and antiinfectives in combination,swe
S03CA01,Dexametason och antiinfektiva medel,S03CA01,Dexamethasone and antiinfectives,swe
S03CA02,Prednisolon och antiinfektiva medel,S03CA02,Prednisolone and antiinfectives,swe
S03CA04,Hydrokortison och antiinfektiva medel,S03CA04,Hydrocortisone and antiinfectives,swe
S03CA05,Fludrokortison och antiinfektiva medel,S03CA05,Fludrocortisone and antiinfectives,swe
S03CA06,Betametason och antiinfektiva medel,S03CA06,Betamethasone and antiinfectives,swe
SA000,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning utan tillskott av oxygen. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Ingen,WAA408,Balanced anesthesia,swe
SA001,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning utan tillskott av oxygen. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Intravenöst,WAA408,Balanced anesthesia,swe
SA004,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning utan tillskott av oxygen. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Regional,WAA408,Balanced anesthesia,swe
SA010,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning utan tillskott av oxygen. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Ingen,WAA408,Balanced anesthesia,swe
SA011,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning utan tillskott av oxygen. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst,WAA419,Other general anesthesia,swe
SA014,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning utan tillskott av oxygen. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Regional,WAA419,Other general anesthesia,swe
SA100,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Ingen,WAA408,Balanced anesthesia,swe
SA101,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Intravenöst,WAA408,Balanced anesthesia,swe
SA102,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Inhalation,WAA408,Balanced anesthesia,swe
SA103,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation,WAA408,Balanced anesthesia,swe
SA104,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Regional,WAA408,Balanced anesthesia,swe
SA110,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Ingen,WAA419,Other general anesthesia,swe
SA111,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst,WAA419,Other general anesthesia,swe
SA112,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation,WAA419,Other general anesthesia,swe
SA113,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation,WAA419,Other general anesthesia,swe
SA114,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Regional,WAA419,Other general anesthesia,swe
SA130,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Ingen,WAA419,Other general anesthesia,swe
SA131,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst,WAA419,Other general anesthesia,swe
SA132,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation,WAA419,Other general anesthesia,swe
SA133,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation,WAA419,Other general anesthesia,swe
SA134,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Spontanandning med tillägg av oxygen. Huvudsakligt underhåll av narkos/sedering: Inhalation utan relaxation. Huvudsakligt underhåll av analgesi: Regional,WAA419,Other general anesthesia,swe
SA200,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Ingen,WAA408,Balanced anesthesia,swe
SA201,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Intravenöst,WAA408,Balanced anesthesia,swe
SA202,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Inhalation,WAA408,Balanced anesthesia,swe
SA203,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Kombination av intravenöst och inhalation,WAA408,Balanced anesthesia,swe
SA204,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Ingen. Huvudsakligt underhåll av analgesi: Regional,WAA408,Balanced anesthesia,swe
SA210,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Ingen,WAA419,Other general anesthesia,swe
SA211,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Intravenöst,WAA419,Other general anesthesia,swe
SA212,Generell anestesi och sedering. Induktion: Intravenös utan relaxation. Luftvägskontroll med: Manuell luftvägskontroll med mask. Huvudsakligt underhåll av narkos/sedering: Intravenöst utan relaxation. Huvudsakligt underhåll av analgesi: Inhalation,WAA419,Other general anesthesia,swe
