procprop,varval_text_comb,extens,nat_ver
08S11,"Local excision and removal of internal fixation devices, except hip and femur",False,est/swe/lat/ice/den/fin/nor
08S12,Soft tissue procedure,False,est/swe/lat/ice/den/fin/nor
08S13,Local excision or removal of internal fixation devices from hip or femur,False,est/swe/lat/ice/den/fin/nor
08S14,Interbody fusion of spine,True,est/swe/lat/ice/den/fin/nor
08S15,Other fusion of spine,True,est/swe/lat/ice/den/fin/nor
08S16,Combined anterior and posterior fusion of spine,True,est/swe/lat/ice/den/fin/nor
08S18,Open fracture surgery of spine,False,est/swe/lat/ice/den/fin/nor
08S19,Arthroscopy,False,est/swe/lat/ice/den/fin/nor
08S20,Other musculoskeletal system or connective tissue OR procedure,False,est/swe/lat/ice/den/fin/nor
08S40,Tumor removal from shoulder or humerus,False,est/swe/lat/ice/den/fin/nor
08S41,Tumor removal from elbow or forearm,False,est/swe/lat/ice/den/fin/nor
08S42,Tumor removal from wrist or hand,False,est/swe/lat/ice/den/fin/nor
08S43,"Tumor removal from pelvis, hip or femur",False,est/swe/lat/ice/den/fin/nor
08S44,Tumor removal form knee or lower leg,False,est/swe/lat/ice/den/fin/nor
08S45,Tumor removal from ankle or foot,False,est/swe/lat/ice/den/fin/nor
08S46,Procedure for syndactyly of hand,False,est/swe/lat/ice/den/fin/nor
08S47,Procedure for syndactyly of foot,False,est/swe/lat/ice/den/fin/nor
08S50,Shoulder or humerus procedure,False,est/swe/lat/ice/den/fin/nor
08S51,Major shoulder procedures,False,est/swe/lat/ice/den/fin/nor
08S52,Other shoulder  procedure,False,est/swe/lat/ice/den/fin/nor
08S53,Humerus procedure,False,est/swe/lat/ice/den/fin/nor
08S55,Major elbow or forearm procedure,False,est/swe/lat/ice/den/fin/nor
08S56,Other elbow or forearm procedure,False,est/swe/lat/ice/den/fin/nor
08S57,Major thumb or wrist procedure,False,est/swe/lat/ice/den/fin/nor
08S58,Other hand or wrist procedure,False,est/swe/lat/ice/den/fin/nor
08S60,Joint replacement or limb reattachment procedure of the upper extremity,True,est/swe/lat/ice/den/fin/nor
08S61,Prosthetic replacement of joint of shoulder,False,est/swe/lat/ice/den/fin/nor
08S62,Prosthetic replacement of elbow,False,est/swe/lat/ice/den/fin/nor
08S70,Major knee procedures in  short therapy,False,est/swe/lat/ice/den/fin/nor
08S71,"Pelvic, hip or femur procedure, except major joint",False,est/swe/lat/ice/den/fin/nor
08S72,Knee procedure except major joint,False,est/swe/lat/ice/den/fin/nor
08S73,Procedure of lower leg or ankle except major joint or soft tissue procedure,False,est/swe/lat/ice/den/fin/nor
08S74,Procedure of foot except major joint,False,est/swe/lat/ice/den/fin/nor
08S75,Procedure on knee or lower leg,False,est/swe/lat/ice/den/fin/nor
08S76,Procedure on ankle or foot,False,est/swe/lat/ice/den/fin/nor
08S77,Fracture surgery of ankle and foot,False,fin
08S78,"Major pelvic, hip or femur trauma procedure",True,est/swe/lat/ice/den/fin/nor
08S79,Limb reattachment in lower extremity,True,fin
08S81,Prosthetic replacement of joint of hip or pelvis,True,est/swe/lat/ice/den/fin/nor
08S82,Replacement of knee by prosthesis,True,est/swe/lat/ice/den/fin/nor
08S83,Total replacement of ankle by prosthesis,True,est/swe/lat/ice/den/fin/nor
08S91,Excision of bone for graft,False,est/swe/lat/ice/den/fin/nor
08S92,Reoperation on large lower leg joint prosthesis,False,est/swe/lat/ice/den/fin/nor
08S93,Hip secondary procedure,True,est/swe/lat/ice/den/fin
08S94,Knee secondary procedure,True,est/swe/lat/ice/den/fin/nor
08S95,Secondary ankle procedure,True,est/swe/lat/ice/den/fin/nor
08S98,Extern fixation of wrist,False,est/swe/lat/ice/den/fin
09S01,Skin graft or debridement procedure,False,est/swe/lat/ice/den/fin/nor
09S02,Plastic procedure,False,est/swe/lat/ice/den/fin/nor
